gvkey,conm,tic,cusip,cik,sic,naics,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001025,A I C INTL INC,AIIN,001348101,0000002880,5040,421410,C,01,LU,47351,306,1973-01-31,1985-03-19
001026,AID INC-DEL CL A,AIDCA,001360106,0000002886,8062,,P,01,LU,10277,134,1972-12-14,1978-05-31
001027,A I M COS,AIM.3,001412105,,3330,,P,01,LU,28601,23555,1966-01-31,1971-05-28
001028,AIM TELEPHONES INC,7547B,001423102,0000354173,7385,561499,P,01,LU,10285,5148,1981-10-29,1992-01-31
001029,A.I.N. LEASING CORP,AINSE,001425107,,6794,,P,01,LU,10293,6069,1983-06-15,1985-10-31
001030,A I T S INC,1410B,001444108,,7990,,C,01,LU,10306,145,1973-01-31,1974-10-16
001031,A J INDS INC,AJ.2,001476100,,3990,,C,00X,LU,10014,22157,1960-04-01,1966-01-30
001031,A J INDS INC,AJ.2,001476100,,3990,,P,01,LU,10014,22157,1966-01-31,1977-03-31
001034,ALPHARMA INC  -CL A,ALO.2,020813101,0000730469,2834,325412,P,01,LC,65832,20007,1984-02-15,2008-12-29
001036,UNITED DOMINION INDUSTRIES,UDI.,909914103,0000029590,3443,333415,C,01,LC,65453,20008,1983-12-06,2001-05-31
001037,AM COMMUNICATIONS INC,AMCM.,001674100,0000318580,3663,334220,C,01,LU,10314,255,1980-10-07,1988-08-25
001038,AMC ENTERTAINMENT INC -OLD,AEN.2,001669100,,7830,512131,P,01,LU,66413,6301,1983-08-18,2004-12-31
001039,AMC INVESTORS INC,AMC.3,001670108,0000001857,2300,,P,01,LC,50526,25132,1970-04-29,1979-11-30
001040,AMF INC,AMF.2,001688100,0000006091,3949,339920,C,00X,LU,15763,22631,1950-01-01,1962-01-30
001040,AMF INC,AMF.2,001688100,0000006091,3949,339920,P,01,LU,15763,22631,1962-01-31,1985-10-31
001042,AMI SYSTEMS INC,AMIS.1,001719103,0000355713,3612,,P,01,LU,10365,5554,1982-06-21,1985-06-28
001043,MULTIGRAPHICS INC,MTI.3,625440102,0000002310,5040,421410,C,01,LC,80071,30061,1993-12-06,2000-01-27
001043,MULTIGRAPHICS INC,MTI.3,625440102,0000002310,5040,421410,C,00X,LC,18980,20009,1949-08-01,1962-01-30
001043,MULTIGRAPHICS INC,MTI.3,625440102,0000002310,5040,421410,C,01,LC,18980,20009,1984-05-10,1993-05-19
001043,MULTIGRAPHICS INC,MTI.3,625440102,0000002310,5040,421410,C,01,LC,18980,20009,1962-01-31,1982-04-27
001044,AMK CORP,AMK.3,001732106,0000006143,2011,,C,01,LU,37591,21816,1968-01-31,1970-06-30
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,481111,P,04,LC,21020,20010,2013-12-09,E
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,481111,P,01,LC,21020,20010,1962-01-31,2012-01-04
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,481111,C,00X,LC,21020,20010,1950-01-01,1962-01-30
001046,AMS/REALSTAR INC,4303B,001785104,,7372,511210,P,01,LU,10373,7023,1984-05-11,1985-05-31
001047,ANEFCO INC,3050B,001812106,0000352979,8711,541330,C,01,LU,10381,3182,1981-08-12,1983-05-31
001049,APF ELECTRONICS,2952B,001855105,,5040,421,P,01,LU,10400,304,1976-01-30,1982-05-26
001050,CECO ENVIRONMENTAL CORP,CECO,125141101,0000003197,3564,333413,P,01,LC,11499,176,1980-11-28,E
001051,API INSTRUMENTS CO,APW.1,001860105,0000006837,3670,,C,00X,LC,41961,24580,1968-01-02,1968-12-31
001052,API TRUST,APITS,001864107,0000006839,6798,,C,00X,LU,10402,311,1973-04-01,1979-01-30
001052,API TRUST,APITS,001864107,0000006839,6798,,P,01,LU,10402,311,1979-01-31,1983-03-31
001054,ASK GROUP INC,ASKI,001903103,0000354797,7373,541512,P,01,LU,10429,5118,1981-10-01,1994-09-30
001055,AST RESEARCH INC,ASTA.,001907104,0000725182,3571,334111,P,01,LU,85041,7357,1984-12-20,1997-08-29
001056,AEROFLEX INC,ARXX,007768104,0000002601,3825,334416,C,00X,LC,62500,336,1973-07-01,1977-06-29
001056,AEROFLEX INC,ARXX,007768104,0000002601,3825,334416,P,01,LC,62500,336,1977-06-30,2007-08-15
001057,ABEX CORP,8892A,001935006,0000001866,3743,,P,01,LC,10030,22160,1967-01-31,1967-12-29
001057,ABEX CORP,8892A,001935006,0000001866,3743,,C,00X,LC,10030,22160,1964-01-01,1967-01-30
001058,APL CORP,4328B,002024107,0000006841,3089,326199,C,01,LU,28636,23557,1962-07-02,1986-10-30
001059,A P S INC,APS.1,002030104,,5010,236210,P,01,LU,58958,25619,1972-12-14,1981-03-31
001061,ARI INDUSTRIES INC,ARII.,002048106,0000007202,3823,,C,00X,LU,10445,340,1973-04-01,1979-01-30
001061,ARI INDUSTRIES INC,ARII.,002048106,0000007202,3823,,P,01,LU,10445,340,1979-01-31,1980-10-31
001062,ASA GOLD AND PRECIOUS METALS,ASA,G3156P103,0001230869,6799,523999,P,01,LU,26649,20015,1965-01-29,E
001065,AT&E CORP,7200B,002062107,0000008076,3663,334220,C,01,LU,71239,5894,1983-04-04,1991-07-19
001066,ATE ENTERPRISES INC,ATEE,002068104,0000042211,8741,561110,C,01,LC,55335,1911,1984-01-31,1986-12-04
001067,ATI INC,ATQ.1,00299M937,0000929245,7389,812990,C,00X,LC,28652,23559,1962-07-02,1966-01-30
001067,ATI INC,ATQ.1,00299M937,0000929245,7389,812990,P,01,LC,28652,23559,1966-01-31,1984-01-30
001069,ATV SYSTEMS INC,ATVSQ,002095107,0000724768,3578,,C,01,LU,10480,6509,1983-10-18,1984-10-16
001070,AVC CORP,AVC.1,002280105,0000008789,3714,,C,00X,LC,21549,23079,1968-01-01,1968-01-30
001070,AVC CORP,AVC.1,002280105,0000008789,3714,,P,01,LC,21549,23079,1968-01-31,1981-04-30
001072,AVX CORP,AVX,002444107,0000859163,3670,334416,C,00X,LC,56899,25544,1973-01-01,1973-03-29
001072,AVX CORP,AVX,002444107,0000859163,3670,334416,C,01,LC,81912,30930,1995-08-15,2020-03-27
001072,AVX CORP,AVX,002444107,0000859163,3670,334416,C,01,LC,56899,25544,1973-03-30,1990-01-18
001073,AW COMPUTER SYSTEMS  -CL A,3AWCSA,002448108,0000319037,7373,541512,C,01,LU,10496,422,1981-03-09,1996-08-28
001074,AZL RESOURCES INC,AZL.,002455103,0000007237,3523,,P,01,LU,49648,25078,1969-12-04,1982-12-31
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2211,P,01,LU,27991,21409,1962-01-31,E
001076,PROG HOLDINGS INC,PRG,74319R101,0001808834,6141,522220,J,02,LC,78049,5674,2010-12-01,2010-12-10
001076,PROG HOLDINGS INC,PRG,74319R101,0001808834,6141,522220,P,01,LC,10517,5674,1982-11-04,1992-12-31
001076,PROG HOLDINGS INC,PRG,74319R101,0001808834,6141,522220,P,02,LC,78049,5674,1993-01-01,2010-11-30
001076,PROG HOLDINGS INC,PRG,74319R101,0001808834,6141,522220,N,02,LC,78049,5674,1992-11-03,1992-12-31
001076,PROG HOLDINGS INC,PRG,74319R101,0001808834,6141,522220,J,01,LC,10517,5674,1993-01-01,2010-11-30
001076,PROG HOLDINGS INC,PRG,74319R101,0001808834,6141,522220,P,01,LC,10517,5674,2010-12-01,E
001077,AARONSON BROTHERS STORES CP,ARON.,002536100,,5311,,P,01,LU,10525,346,1979-01-31,1980-09-30
001077,AARONSON BROTHERS STORES CP,ARON.,002536100,,5311,,C,00X,LU,10525,346,1973-07-01,1979-01-30
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,334510,C,00X,LC,20482,20017,1950-01-01,1962-01-30
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,334510,P,01,LC,20482,20017,1962-01-31,E
001079,ARP CORP,ARPC.,002904100,0000007522,3060,,C,00X,LC,10541,349,1961-01-01,1969-01-30
001079,ARP CORP,ARPC.,002904100,0000007522,3060,,P,01,LC,10541,349,1969-01-31,1976-09-30
001080,ABERDEEN PETROLEUM CORP-CL A,APT.A,003230109,,6792,,P,01,LU,28660,23561,1963-12-31,1976-04-30
001080,ABERDEEN PETROLEUM CORP-CL A,APT.A,003230109,,6792,,C,00X,LU,28660,23561,1962-10-01,1963-12-30
001081,ABITIBI CONSOLIDATED INC,ABY.2,003924107,0001039778,2621,322122,P,01,LC,10560,20019,1987-07-16,2007-10-26
001082,SERVIDYNE INC,SERV.1,81765M106,0000001923,8700,541310,P,01,LC,10568,5580,1982-06-29,2011-08-31
001083,ACA JOE INC,3ACAJC,003870300,0000098707,5600,448,C,01,LC,44231,4531,1981-08-31,1988-04-06
001083,ACA JOE INC,3ACAJC,003870300,0000098707,5600,448,C,01,LC,44231,4531,1977-12-30,1980-01-31
001086,AMETECH INC,3AMETE,031095102,0000001969,4955,562112,C,01,LU,76876,10835,1991-06-28,1994-02-23
001087,ACADIA PETROLEUM CORP,ACAD.,004220109,0000320029,1311,,P,01,LU,10584,30,1981-03-03,1983-11-30
001088,ACAPULCO RESTAURANTS,ALAR.1,004295101,0000215005,5812,722,P,01,LC,10592,149,1978-09-21,1986-02-05
001089,ACCELERATORS INC,ACEL.1,004302105,,3690,,P,01,LC,10613,22208,1972-12-14,1979-11-30
001091,ACCO WORLD CORP,ACO.2,004330106,,2780,32311,P,01,LU,64688,5803,1983-02-11,1987-07-31
001092,ACCU TEST SYSTEMS INC,ACCUQ,004377107,,1389,,P,01,LU,10621,34,1981-08-13,1983-04-29
001093,ACCURAY CORP,ACRA.,004396107,0000050346,3823,334513,P,01,LC,10640,50,1972-12-14,1987-03-31
001094,ACETO CORP,ACETQ,004446100,0000002034,5160,424690,P,01,LC,10656,37,1972-12-14,2019-10-02
001095,ACKERLEY GROUP INC,AK,004527107,0000319120,4833,513120,P,01,LC,10123,9754,1989-09-07,2002-06-14
001097,ACMAT CORP  -CL A,ACMTA,004616207,0000002062,6351,524126,P,02,LC,11647,47,1994-10-01,2004-12-03
001097,ACMAT CORP  -CL A,ACMTA,004616207,0000002062,6351,524126,P,01,LC,10664,47,1972-12-14,1994-09-30
001097,ACMAT CORP  -CL A,ACMTA,004616207,0000002062,6351,524126,J,02,LC,11647,47,1987-09-30,1994-09-30
001097,ACMAT CORP  -CL A,ACMTA,004616207,0000002062,6351,524126,N,01,LC,10664,47,1994-10-01,1995-09-01
001098,ACME-CLEVELAND CORP,AMT.1,004626107,0000869676,3661,334210,C,01,LC,10057,20020,1968-01-01,1996-07-02
001099,ACME ELECTRIC CORP,ACEE,004644100,0000002070,3612,335311,P,01,LC,63837,156,1972-12-14,2000-11-30
001100,ACME GENERAL CORP,ACME.,004671103,0000002075,3420,,P,01,LC,10672,46,1972-12-14,1985-06-28
001101,ACME-HAMILTON MFG CORP,1438B,004680104,,3060,,P,01,LU,28679,23562,1973-01-31,1978-01-31
001103,ACME PRECISION PRODUCTS INC,5848B,004770103,,3559,333295,C,01,LU,28695,23564,1966-01-31,1988-07-13
001104,ACME UNITED CORP,ACU,004816104,0000002098,3420,332215,P,01,LU,60038,370,1972-12-14,E
001106,ACRO ENERGY CORP,ACRQE,004898102,0000079397,3433,333414,C,01,LU,10699,5193,1982-01-28,1986-10-31
001108,PRINCETON HOLDINGS INC,PRHD,741885107,,5020,421220,C,01,LC,51510,20021,1970-11-11,1996-10-18
001109,ALUF HOLDINGS INC,AHIX,022167308,0000747435,3944,339930,C,01,LC,85084,7338,1986-09-22,2009-04-24
001109,ALUF HOLDINGS INC,AHIX,022167308,0000747435,3944,339930,C,01,LC,85084,7338,1984-12-12,1985-12-26
001111,ACTIVISION INC,ATVI.1,004930202,,7372,511210,C,00X,LC,10701,6060,1983-06-09,1985-05-30
001111,ACTIVISION INC,ATVI.1,004930202,,7372,511210,C,02,LC,79678,12499,1993-10-22,2008-07-09
001111,ACTIVISION INC,ATVI.1,004930202,,7372,511210,C,02,LC,10701,6060,1985-05-31,1991-03-28
001112,ACTMEDIA INC,ACTM.,005049101,0000730066,7310,5418,P,01,LU,10720,6611,1983-11-22,1989-07-31
001113,ACTON CORP  -OLD,ATN.1,00599Y300,,4841,5132,C,01,LC,43967,20022,1966-11-22,1988-04-29
001114,ACUSHNET CO,ACSH,005086103,0000002166,3060,,P,01,LC,10728,53,1972-12-14,1976-05-28
001115,ADAC LABORATORIES,ADAC.,005313200,0000313798,3844,334517,P,01,LU,10752,58,1979-12-05,2000-12-29
001117,BK TECHNOLOGIES CORP,BKTI,05587G203,0000002186,3663,334220,P,02,LC,10779,65,1978-10-03,2003-05-07
001117,BK TECHNOLOGIES CORP,BKTI,05587G203,0000002186,3663,334220,P,02,LC,10779,65,2005-10-14,E
001118,ADAMS DRUG INC,ADG.1,006203103,,5912,,P,01,LU,57306,25563,1972-12-20,1984-11-30
001119,ADAMS DIVERSIFIED EQUITY FD,ADX,006212104,0000002230,6726,525990,P,01,LU,10065,20023,1982-01-29,E
001119,ADAMS DIVERSIFIED EQUITY FD,ADX,006212104,0000002230,6726,525990,C,00X,LU,10065,20023,1982-01-01,1982-01-28
001120,ADAMS-MILLIS CORP,ALL.2,006284103,,2250,3151,P,01,LU,17224,22757,1962-01-31,1988-10-31
001120,ADAMS-MILLIS CORP,ALL.2,006284103,,2250,3151,C,00X,LU,17224,22757,1950-01-01,1962-01-30
001121,ADAMS RESOURCES & ENERGY INC,AE,006351308,0000002178,5172,424720,P,01,LU,61487,59,1975-02-07,E
001122,ADAMS RUSSELL,AAR.1,006356109,,4841,5132,P,01,LC,47650,24955,1969-02-05,1987-12-31
001123,ADCOR ELECTRONICS INC,ADCR,006511109,0000742808,3679,334419,C,01,LU,85105,7521,1985-04-29,1986-12-19
001124,ADDISON-WESLEY PUB  -CL B,ADSNB,006680201,,2731,511130,P,01,LU,10787,73,1972-12-14,1988-03-24
001125,ADDITIVE TECHNOLOGY CORP,4304B,006688105,0000730347,6794,533110,P,01,LU,10795,7002,1984-04-26,1985-08-30
001126,ADDMASTER CORP,ADDC,006698203,0000002308,3578,333313,C,01,LU,10808,62,1978-01-31,1990-06-19
001126,ADDMASTER CORP,ADDC,006698203,0000002308,3578,333313,C,00X,LU,10808,62,1973-06-01,1978-01-30
001128,ADIA SERVICES INC,ADIA.,006874101,0000752200,7363,561320,P,01,LU,85113,7245,1984-10-02,1995-01-31
001129,ADVANCED FUEL SYSTEMS INC,AFSI.1,006901102,0000355565,3714,,P,01,LU,10816,5232,1981-12-10,1983-08-31
001130,ADVANCED LOGIC SYSTEMS INC,5710B,006902100,0000714420,3572,334112,C,01,LU,10824,7087,1984-06-15,1987-06-10
001131,ADLEY CORP,ADLY,007086101,0000002369,4210,,P,01,LU,10832,22229,1972-12-14,1973-07-31
001133,ADMIRAL CORP,ADL.1,007158108,0000002387,3651,,C,00X,LU,22488,23147,1950-01-01,1962-01-30
001133,ADMIRAL CORP,ADL.1,007158108,0000002387,3651,,P,01,LU,22488,23147,1962-01-31,1974-04-30
001134,ADOBE BUILDING CENTERS INC,ADBEA,007235104,0000002408,5030,,C,00X,LC,10859,60,1973-01-01,1978-01-30
001134,ADOBE BUILDING CENTERS INC,ADBEA,007235104,0000002408,5030,,P,01,LC,10859,60,1978-01-31,1978-10-03
001135,ADOBE OIL & GAS CORP,AOI.1,007239106,0001076034,1311,211111,P,01,LU,57461,25571,1973-11-26,1985-11-29
001137,ADVANCE CIRCUITS INC,ADVC.,007383102,,3672,334412,P,01,LU,10867,76,1980-12-05,1995-10-31
001138,ADVANCE ROSS CORP,AROS.,00750D103,0000002457,6099,523999,P,01,LU,10875,347,1972-12-14,1996-01-31
001139,ADVANCED CHEMICAL TECHNOLOGY,ACTC.,007509102,0000002463,3412,,P,01,LU,10891,54,1978-01-31,1981-08-31
001139,ADVANCED CHEMICAL TECHNOLOGY,ACTC.,007509102,0000002463,3412,,C,00X,LU,10891,54,1973-02-01,1978-01-30
001140,ADVANCED COMMUNICATIONS INC,5022B,007510100,0000724899,3661,334210,C,01,LU,10904,6815,1984-01-26,1986-10-27
001141,ADVANCED COMPUTER TECHNIQUES,AVCD,007518103,0000002467,7373,541512,C,01,LU,10912,55,1978-01-31,1991-07-03
001141,ADVANCED COMPUTER TECHNIQUES,AVCD,007518103,0000002467,7373,541512,C,00X,LU,10912,55,1973-04-01,1978-01-30
001142,ADVANCED ENERGY CORP,5119B,00753L102,0000320179,4953,562111,P,01,LU,46624,2454,1982-01-29,1986-09-30
001143,ADVANCED ENERGY RESOURCES,3AVEG,00753M100,0000740966,1381,213111,P,01,LU,78523,27331,1984-05-10,1985-03-29
001145,ADVANCED SYSTEMS INC,ASY.2,007547102,,7812,512110,P,01,LU,65840,78,1980-07-31,1987-12-31
001145,ADVANCED SYSTEMS INC,ASY.2,007547102,,7812,512110,C,00X,LU,65840,78,1976-11-01,1980-07-30
001146,ADVENT CORP,ADVNQ.,007551104,0000002506,3651,,P,01,LU,10971,77,1972-12-14,1981-04-14
001147,ADVERTISING UNLIMITED INC,AUNL,007557101,0000002517,2750,32311,P,01,LU,10990,410,1979-01-31,1987-10-23
001148,ADVEST GROUP INC,ADV.2,007566102,0000319489,6211,523120,P,01,LU,64514,420,1980-11-21,2001-02-28
001150,AEGIS CORP,AO.1,007603103,0000002552,3730,,P,01,LU,28716,23566,1966-04-29,1984-11-30
001151,AEQUITRON MEDICAL INC,AQTN,007631104,0000736970,3842,339113,P,01,LU,10998,6943,1984-03-22,1996-12-31
001153,AERO-FLOW DYNAMICS INC,AER.2,007680101,,5084,,P,01,LU,28724,23567,1962-07-02,1983-01-31
001154,AERO SYSTEMS ENGINEERING INC,AERS.,007692106,0000002589,8711,541330,P,01,LU,85164,7538,1985-05-10,2003-12-23
001155,AERO SYSTEMS INC,AESM,007698103,0000002590,5080,4218,C,01,LU,11010,87,1975-06-30,1993-07-30
001156,AERODEX INC,AOX.1,007752108,0000002597,3724,,P,01,LU,46973,24915,1968-10-17,1975-06-30
001157,AEROJET GENERAL CORP,AJT,007788102,0000002602,3721,,P,01,LU,28732,23568,1962-07-02,1972-10-31
001159,AERONCA INC,ARN.2,007842107,0000002611,3728,336413,P,01,LU,28740,23569,1966-01-31,1986-09-05
001161,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674,334413,P,01,LU,61241,211,1972-12-14,E
001162,ADVENTURE LANDS OF AMERICA,ADLA,007905102,,7990,,P,01,LU,11026,68,1978-10-06,1985-11-29
001163,ADVANCED MONITORING SYS INC,3ADNME,007910102,0000315698,1389,213112,C,01,LU,11034,245,1982-01-29,1988-03-21
001164,MCI INC,MCIP,552691107,0000723527,4813,517110,P,01,LC,11042,61,1980-11-24,1986-07-28
001164,MCI INC,MCIP,552691107,0000723527,4813,517110,P,01,LC,11042,61,1986-08-22,2002-07-29
001164,MCI INC,MCIP,552691107,0000723527,4813,517110,P,10,LC,90284,45424,2004-07-14,2006-01-06
001165,B-FAST CORP,BFTC,055413108,0000350200,9995,999990,C,01,LC,11069,85,1981-04-14,1988-04-27
001166,ASM INTERNATIONAL NV,ASMIY,N07045102,0000351483,3559,333242,P,90,LC,11077,374,1981-05-12,2015-08-20
001167,ADVANT CORP,AVNT.1,007915101,0000355004,5045,,P,01,LU,11085,5260,1982-01-04,1982-10-29
001169,ADV GENETIC SCIENCES,AGSI.,007920101,,2890,325,P,01,LC,11114,6414,1983-09-22,1988-11-22
001170,ADVANCED TELECOMMUN-OLD,ATEL.,00799Y100,,4813,513310,C,00X,LC,11149,6737,1983-12-21,1984-01-30
001170,ADVANCED TELECOMMUN-OLD,ATEL.,00799Y100,,4813,513310,P,01,LC,11149,6737,1984-01-31,1985-07-30
001171,ADVANCED TELECOMMUNICATIONS,ATEL.1,007923105,0000729647,4813,513310,P,01,LC,11149,6737,1985-07-31,1992-12-04
001172,ADV PROFESSIONAL SALES-OLD,APSI.1,007926108,,5047,421450,C,01,LC,15916,321,1983-06-24,1985-09-29
001172,ADV PROFESSIONAL SALES-OLD,APSI.1,007926108,,5047,421450,C,01,LC,15916,321,1986-07-10,1986-12-31
001173,AEROSONIC CORP,AIM.1,008015307,0000109471,3812,334511,C,00X,LU,11157,376,1973-02-01,1975-02-27
001173,AEROSONIC CORP,AIM.1,008015307,0000109471,3812,334511,C,01,LU,11157,376,1975-02-28,2013-06-28
001174,AEROTRON INC,AERO.1,008050106,,3663,,C,01,LC,11165,22254,1972-12-14,1979-12-31
001175,AEROVOX CORP,AVX.2,008086100,0000002636,3670,,P,01,LU,44396,24752,1967-05-03,1973-05-31
001177,AETNA INC,AET,00817Y108,0001122304,6324,524114,P,01,LC,46850,20026,1968-09-24,2000-12-13
001177,AETNA INC,AET,00817Y108,0001122304,6324,524114,P,01,LC,88845,41072,2000-12-14,2018-11-30
001178,AFFILIATED BANKSHARES COLO,AFBK.,008182107,0000002682,6020,522110,P,01,LU,11173,94,1974-01-31,1992-11-30
001178,AFFILIATED BANKSHARES COLO,AFBK.,008182107,0000002682,6020,522110,C,00X,LU,11173,94,1974-01-01,1974-01-30
001179,AFFILIATED CAPITAL CORP,AFD,008185100,0000002684,6552,,P,01,LU,52310,25242,1978-01-31,1982-01-29
001179,AFFILIATED CAPITAL CORP,AFD,008185100,0000002684,6552,,C,00X,LU,52310,25242,1974-01-01,1978-01-30
001180,AFFILIATED HOSPITAL PRODS,AFH.1,008230104,,3060,,P,01,LU,50569,25134,1970-05-14,1985-02-21
001181,AFFILIATED PUBNS,AFP.1,008262107,0000849696,2711,511110,P,01,LC,57349,25566,1973-08-09,1989-05-31
001181,AFFILIATED PUBNS,AFP.1,008262107,0000849696,2711,511110,P,01,LC,75618,22086,1989-06-08,1993-10-01
001182,AFTER SIX INC,TUX.1,008315103,0000002741,2300,,P,01,LU,57613,25577,1972-12-14,1984-09-28
001183,IDNA INC,IDAI.,45169P106,0001004981,4899,517210,P,01,LC,11181,6059,1983-06-08,1998-03-09
001184,AGGIE OIL CO,AGGY.1,008458101,0000353335,1381,,P,01,LC,11200,114,1981-09-11,1984-01-26
001186,AGNICO EAGLE MINES LTD,AEM,008474108,0000002809,1040,212220,P,01,LC,78223,26174,1982-11-01,E
001188,AGOIL INC-OLD,AGOLC,008484107,,1381,,P,01,LU,11229,10132,1981-04-06,1983-05-31
001192,AGUIRRE CO,AGG.2,008644106,0000002850,6500,,P,01,LU,17232,22758,1962-01-31,1978-12-08
001192,AGUIRRE CO,AGG.2,008644106,0000002850,6500,,C,00X,LU,17232,22758,1949-08-01,1962-01-30
001194,AHMANSON (H F) & CO,AHM.1,008677106,0000771667,6035,522120,P,01,LU,56266,20028,1972-12-14,1998-10-30
001195,AID AUTO STORES INC  -OLD,AASS,008708208,,5013,421120,C,00X,LU,11253,9,1974-01-01,1978-01-30
001195,AID AUTO STORES INC  -OLD,AASS,008708208,,5013,421120,P,01,LU,11253,9,1978-01-31,1985-06-28
001196,AIKEN INDUSTRIES INC,AKN.1,008788101,0000002899,3812,,P,01,LU,44820,24779,1968-01-31,1976-09-30
001197,AILEEN INC,AEENQ,008878100,0000002904,2253,315191,C,01,LU,39116,20029,1963-04-23,1995-07-14
001199,AGRICULTURAL & INDL DEV INC,AIDI,008900102,,0200,,C,01,LU,11280,135,1979-05-11,1980-08-11
001200,AIR CALIFORNIA,AIAO,009086109,0000002926,4512,,P,01,LC,11288,31,1972-12-14,1973-05-31
001201,AIR CARGO EQUIPMENT CORP,ARCE.1,009095100,0000002929,3537,333924,P,01,LU,11296,330,1979-01-31,1988-12-30
001202,AIR CHAPARRAL INC,ACHPQ,009100108,0000352059,4512,4811,P,01,LC,11309,39,1981-07-09,1983-08-24
001203,AIR EXPRESS INTERNATIONAL CP,AEIC,009104100,0000700674,4731,488510,C,01,LU,61081,143,1973-01-31,2000-02-29
001204,AIR FLORIDA SYSTEM INC,AIRQC,009114109,,4512,4811,C,00X,LU,11317,144,1973-08-01,1979-01-30
001204,AIR FLORIDA SYSTEM INC,AIRQC,009114109,,4512,4811,C,01,LU,11317,144,1979-01-31,1984-08-16
